"time","bsp","awa","aws","twa","tws","twd","lat","lon","cog","sog","index","opt_v","pol_perc"
2018-07-14 21:00:00,0.901951219512195,-70.9024390243902,3.2,-102.288780487805,3.0920487804878,254.635609756098,43.3240769585366,-82.4576223521951,356.908292682927,1.7369756097561,14818.8146341463,2.76455155691057,32.6010660155888
2018-07-14 21:05:00,0.978844221105528,-66.4095477386935,3.16532663316583,-99.3758793969849,2.95170854271357,254.737185929648,43.3263285140704,-82.4583238869347,354.138693467337,1.80391959798995,15114.6331658291,2.64014625125628,36.8373589446108
2018-07-14 21:10:00,1.36071428571429,-71.7755102040816,4.15,-101.304591836735,4.0084693877551,244.994897959184,43.3289400576531,-82.4593298622449,346.315306122449,2.08714285714286,15415.2142857143,3.61946010289116,37.3275821773589
2018-07-14 21:15:00,2.02675257731959,-71.5335051546392,4.77989690721649,-103.990721649485,4.67474226804124,249.414432989691,43.3320845,-82.4609398201031,353.410824742268,2.65510309278351,15713.7319587629,4.20084739003436,48.3514258079198
2018-07-14 21:20:00,3.77531914893617,-64.1010638297872,5.88989361702128,-107.98085106383,5.56574468085106,249.078723404255,43.3365912553191,-82.4622149196808,357.060106382979,4.30191489361702,16003.3191489362,4.94782926329787,76.1208659660083
2018-07-14 21:25:00,3.76009950248756,-63.3532338308458,5.69601990049751,-108.250248756219,5.3552736318408,248.903980099502,43.3427917736318,-82.4638827223881,357.1592039801,4.24199004975124,16306.0995024876,4.74901273548922,79.22522925409
2018-07-14 21:30:00,3.39853535353535,-58.3459595959596,5.5520202020202,-101.631818181818,4.815,256.745454545455,43.3482508873737,-82.4651586525252,358.364646464646,3.90545454545455,16604.4646464646,4.35780053198653,78.1045502335148
2018-07-14 21:35:00,3.78028571428571,-60.0285714285714,5.92047619047619,-103.819047619048,5.27861904761905,255.614285714286,43.3537880857143,-82.4664792852381,359.45619047619,4.23219047619048,16896.3285714286,4.76418113015873,79.429410434053
2018-07-14 21:40:00,2.94620512820513,-57.5897435897436,5.56205128205128,-96.18,4.72389743589744,258.576923076923,43.3590549379487,-82.4680172333333,354.765641025641,3.49164102564103,17189.7846153846,4.33421648376068,68.0238975279013
2018-07-14 21:45:00,2.70677884615385,-57.125,5.17211538461538,-96.0697115384615,4.36596153846154,261.822596153846,43.3635499716346,-82.4693301985577,357.881730769231,3.28091346153846,17485.9615384615,4.00159343349359,67.9225619005395
2018-07-14 21:50:00,2.8313,-57.8775,4.883,-101.19,4.2211,257.0965,43.3681583935,-82.4703539165,358.298,3.42195,17781.72,3.82559553,74.2939113728126
2018-07-14 21:55:00,2.340625,-65.0432692307692,4.26875,-107.532692307692,4.04346153846154,250.618269230769,43.3726470673077,-82.4714338951923,358.147115384615,3.02927884615385,18075.4903846154,3.59675205288462,64.8964382430752
2018-07-14 22:00:00,1.42863636363636,-85.5176767676768,3.56010101010101,-118.662626262626,4.03424242424242,239.041414141414,43.3762042252525,-82.472277009596,357.666161616162,2.23454545454545,18375.8787878788,3.3218078459596,43.0997550608555
2018-07-14 22:05:00,1.37769230769231,-91.0649038461538,3.81730769230769,-119.788942307692,4.38581730769231,239.136057692308,43.3789984427885,-82.4728518024039,358.915865384615,2.14365384615385,18659.3990384615,3.58175508974359,38.5535351252177
2018-07-14 22:10:00,1.76467391304348,-88.1032608695652,4.59347826086957,-116.657608695652,5.13326086956522,243.713043478261,43.3814051793478,-82.4733948358696,0.38369565217391,2.475,18870.9565217391,4.32787065942029,40.795975817587
2018-07-15 04:20:00,1.79265306122449,-87.1326530612245,3.35918367346939,-115.861224489796,3.72877551020408,246.642857142857,43.6513490795918,-82.5333070122449,354.769387755102,2.50408163265306,18974.8775510204,3.16632705782313,56.6799278519654
2018-07-15 04:25:00,1.92103448275862,-87.7344827586207,3.21724137931034,-126.988965517241,4.03441379310345,229.63324137931,43.6530638958621,-82.5338545496552,355.954482758621,2.61075862068966,19119.2068965517,3.06234326436782,62.8030011870643
2018-07-15 04:45:00,1.17701492537313,-96.7985074626866,2.42835820895522,-133.849253731343,3.34761194029851,229.861194029851,43.666572138806,-82.5378629134328,3.73283582089552,2.04462686567164,20427.5820895522,2.33738070646766,50.5394393144947
